INDICE,id,NOMBRE,LAT,LONG,primer_dato
0,100000000000000030278,Chilibroste AgriculturaCba,-32.3285,-62.5171,20201029T190000Z
1,100000000000000030431,APRHi - Cuenca Lutti,-32.3216,-64.706,20210701T120000Z
2,100000000000000030240,APRHi - Chancaní,-31.37665,-65.47995,20201029T184000Z
3,100000000000000030446,APRHi - Piedras Moras,-32.166,-64.2398,20210701T122000Z
4,100000000000000030401,Tancacha AgriculturaCba,-32.2531,-63.9823,20210701T120000Z
5,100000000000000030395,Esquina AgriculturaCba,-31.080793,-63.795479,20210710T041000Z
6,100000000000000030437,APRHi - Cuenca Las Mojarras,-31.2938,-64.5692,20210717T040000Z
7,100000000000000030430,APRHi - Cuenca Letanías,-32.3602,-64.8555,20210701T121000Z
8,100000000000000030277,Noetinger AgriculturaCba,-32.380319,-62.308092,20201105T012000Z
9,100000000000000030161,Chazon AgriculturaCba,-33.0811,-63.2674,20201029T190000Z
10,100000000000000030434,APRHi - Presa Chañar,-33.9748,-65.0102,20210701T121000Z
11,100000000000000030435,APRHi - Cuenca Sta Rosa,-32.083333,-64.697222,20210701T122000Z
12,100000000000000030447,APRHi - Cuenca Los Chorrillos,-31.3489,-64.657,20210717T041000Z
13,100000000000000030260,Cruz Alta AgriculturaCba,-33.0043,-61.8351,20201105T010000Z
14,100000000000000030057,Cno 60 Cuadras AgriculturaCba,-31.5414,-64.1266,20201029T190000Z
15,100000000000000030055,Pampayasta Norte AgriculturaCba,-32.2405,-63.6426,20201105T012000Z
16,100000000000000030164,Monte Buey AgriculturaCba,-32.8475,-62.4421,20201105T012000Z
17,100000000000000030262,FAV - UNRC AgriculturaCba,-32.968273,-64.652778,20201105T011000Z
18,100000000000000030394,La Paz AgriculturaCba,-32.2136,-65.0706,20210701T120000Z
19,100000000000000030404,Las Calles AgriculturaCba,-31.828,-64.9454,20210701T121000Z
20,100000000000000030128,Freyre AgriculturaCba,-31.1782,-62.1061,20201105T011000Z
21,100000000000000030242,APRHi - Campus UBP,-31.337274,-64.255563,20201029T183000Z
22,100000000000000030237,APRHi - Laguna La Margarita,-34.629675,-63.740588,20201029T184000Z
23,100000000000000030110,Las Arrias AgriculturaCba,-30.3856,-63.5956,20201105T012000Z
24,100000000000000030241,APRHi - Villa General Belgrano,-31.969067,-64.534368,20201029T185000Z
25,100000000000000030232,APRHi - Río Espinillo,-31.8134,-64.6626,20210125T114000Z
26,100000000000000030073,Bruzone AgriculturaCba,-34.4391,-64.3424,20201029T190000Z
27,100000000000000030402,La Laguna AgriculturaCba,-32.7949,-63.2176,20210701T121000Z
28,100000000000000030156,Las Junturas AgriculturaCba,-31.8332,-63.4548,20201105T012000Z
29,100000000000000030351,APRHi - EM Ballesteros,-32.5542,-62.9681,20201029T184000Z
30,100000000000000030433,APRHi - Cuenca Durazno,-32.104167,-64.786111,20210701T121000Z
31,100000000000000030079,IPEA 225 - ATAHUALPA YUPANQUI,-31.7365,-62.8953,20201105T011000Z
32,100000000000000030265,San Pedro Norte AgriculturaCba,-30.179069,-64.135069,20201105T013000Z
33,100000000000000030072,San Pedro AgriculturaCba,-31.9253,-65.2188,20201105T013000Z
34,100000000000000030304,Consorcio Canalero San Miguel - Las Varillas,-31.957304,-62.588407,20201105T010000Z
35,100000000000000030234,APRHi - Sta Rosa de Calamuchita,-32.0327,-64.6478,20210125T150000Z
36,100000000000000030287,Aproduco - Villa Retiro AgriculturaCba,-31.3382,-64.1389,20201029T190000Z
37,100000000000000030133,Cosquin AgriculturaCba,-31.206,-64.4597,20201105T010000Z
38,100000000000000030062,Jovita AgriculturaCba,-34.5194,-63.9683,20201105T011000Z
39,100000000000000030269,Bouwer AgriculturaCba,-31.5503,-64.1979,20201029T190000Z
40,100000000000000030282,Justiniano Posse AgriculturaCba,-32.89553,-62.64823,20201105T011000Z
41,100000000000000030167,APRHi - Cruz del Eje,-30.762717,-64.756448,20201029T184000Z
42,100000000000000030042,Munic. de Corralito,-32.0277,-64.188,20201105T012000Z
43,100000000000000030074,Villa Rossi AgriculturaCba,-34.2392,-63.2672,20201105T013000Z
44,100000000000000030445,APRHi - Calmayo,-32.025,-64.467,20210701T121000Z
45,100000000000000030247,APRHi - La Cumbre,-30.962402,-64.478703,20201029T184000Z
46,100000000000000030163,General Deheza AgriculturaCba,-32.7649,-63.7795,20201105T011000Z
47,100000000000000030248,APRHi - Alta Gracia,-31.654306,-64.426523,20201029T183000Z
48,100000000000000030274,Serrano AgriculturaCba,-34.4629,-63.5309,20201105T013000Z
49,100000000000000030279,Coronel Moldes AgriculturaCba,-33.648281,-64.595202,20201105T010000Z
50,100000000000000030130,El Tio AgriculturaCba,-31.3846,-62.8138,20201105T011000Z
51,100000000000000030129,El Fortin AgriculturaCba,-31.9653,-62.306,20201105T011000Z
52,100000000000000030407,Cavanagh AgriculturaCba,-33.4613,-62.326,20210701T121000Z
53,100000000000000030288,Ordoñez AgriculturaCba,-32.848542,-62.855049,20201105T012000Z
54,100000000000000030249,APRHi - San Francisco del Chañar,-29.842849,-63.9774,20201029T185000Z
55,100000000000000030268,Rayo Cortado AgriculturaCba,-30.071525,-63.818028,20201105T012000Z
56,100000000000000030134,Villa del Totoral AgriculturaCba,-30.7074,-64.0819,20201105T013000Z
57,100000000000000030155,Alejandro Roca AgriculturaCba,-33.3514,-63.7033,20201029T190000Z
58,100000000000000030449,APRHi - Colonia Veinticinco,-32.86789,-62.01814,20210701T121000Z
59,100000000000000030253,APRHi - Los Reartes,-31.925382,-64.578196,20201029T185000Z
60,100000000000000030083,APRHi - Ascochinga,-30.9598,-64.2831,20201029T183000Z
61,100000000000000030432,APRHi - Cabaña María Lucía,-32.540181,-62.220586,20210701T121000Z
62,100000000000000030053,Rio Primero AgriculturaCba,-31.3187,-63.6446,20201105T012000Z
63,100000000000000030158,Toro Pujio AgriculturaCba,-31.1084,-62.9898,20201105T013000Z
64,100000000000000030157,Devoto AgriculturaCba,-31.4042,-62.3265,20201105T010000Z
65,100000000000000030169,APRHi - Dique El Cajon,-30.854,-64.5497,20201029T184000Z
66,100000000000000030076,Acipro Santa Rosa 1,-31.1903,-63.4508,20201029T190000Z
67,100000000000000030270,Rio Tercero AgriculturaCba,-32.170078,-64.087732,20201105T012000Z
68,100000000000000030071,Dean Funes AgriculturaCba,-30.4047,-64.354,20201105T010000Z
69,100000000000000030112,Brinkmann AgriculturaCba,-30.919,-62.0466,20201029T190000Z
70,100000000000000030066,Ausonia AgriculturaCba,-32.6533,-63.2458,20201029T190000Z
71,100000000000000030233,APRHi - Cañada del Sauce,-32.3887,-64.6477,20201029T184000Z
72,100000000000000030236,APRHi - Los Hornillos,-31.163477,-64.366722,20201029T185000Z
73,100000000000000030243,APRHi - Río San Pedro,-31.761,-64.659,20201029T185000Z
74,100000000000000030147,APRHi - Morteros,-30.7311,-62.0062,20201029T185000Z
75,100000000000000030245,APRHi - Río San Guillermo,-31.3164,-64.9038,20210125T150000Z
76,100000000000000030170,APRHi - La Candelaria,-30.9362,-64.8402,20201029T184000Z
77,100000000000000030160,Marcos Juarez AgriculturaCba,-32.7242,-62.0897,20201105T012000Z
78,100000000000000030281,Etruria AgriculturaCba,-32.910806,-63.252767,20201105T011000Z
79,100000000000000030235,APRHi - Río Los Sauces,-32.5518,-64.6024,20201029T185000Z
80,100000000000000030054,Colonia Almada AgriculturaCba,-32.0366,-63.8668,20201029T190000Z
81,100000000000000030271,Corral de Bustos Ifflinger AgriculturaCba,-33.2832,-62.1534,20201105T010000Z
82,100000000000000030266,Tinoco AgriculturaCba,-31.079109,-63.850986,20201105T013000Z
83,100000000000000030140,EPEC - EM La Viña,-31.8727,-65.0363,20201105T011000Z
84,100000000000000030113,San Carlos Minas AgriculturaCba,-31.1704,-65.1087,20201105T013000Z
85,100000000000000030275,Saturnino Laspiur AgriculturaCba,-31.69655,-62.488105,20201105T013000Z
86,100000000000000030069,Oliva AgriculturaCba,-32.0278,-63.55,20201105T012000Z
87,100000000000000030109,Rio Cuarto AgriculturaCba,-33.1612,-64.357,20201105T012000Z
88,100000000000000030111,UNVM AgriculturaCba,-32.3803,-63.2629,20201105T013000Z
89,100000000000000030059,Rio Bamba AgriculturaCba,-34.0537,-63.7332,20201105T012000Z
90,100000000000000030065,Villa Valeria AgriculturaCba,-34.3427,-64.929,20201105T013000Z
91,100000000000000030349,APRHi - Bell Ville,-32.659054,-62.700417,20201029T183000Z
92,100000000000000030056,Las Varas AgriculturaCba,-31.802,-62.6315,20201105T012000Z
93,100000000000000030272,Alicia AgriculturaCba,-31.9351,-62.4767,20201029T190000Z
94,100000000000000030061,La Cumbrecita AgriculturaCba,-31.9014,-64.7689,20201105T171000Z
95,100000000000000030305,Consorcio Canalero San Miguel - El Fortín,-31.9867,-62.2795,20201105T010000Z
96,100000000000000030132,Rodeo de los Caballos AgriculturaCba,-32.4825,-64.7911,20201105T012000Z
97,100000000000000030100,La Carlota AgriculturaCba,-33.4156,-63.3086,20201105T011000Z
98,100000000000000030102,Melo AgriculturaCba,-34.3452,-63.4377,20201105T012000Z
99,100000000000000030159,Buchardo AgriculturaCba,-34.706,-63.503,20201029T190000Z
100,100000000000000030352,APRHi - Los Zorros,-32.04752,-63.197849,20201029T185000Z
101,100000000000000030142,APRHi - Characato,-31.1296,-64.7361,20201104T211000Z
102,100000000000000030306,Consorcio Canalero San Miguel - Estancia San Isidro,-32.068528,-62.4505,20201105T010000Z
103,100000000000000030273,Transito AgriculturaCba,-31.4207,-63.1932,20201105T013000Z
104,100000000000000030238,APRHi - Cuenca Colanchanga,-31.138923,-64.40179,20201029T184000Z
105,100000000000000030280,Viamonte AgriculturaCba,-33.742903,-63.099566,20201105T013000Z
106,100000000000000030285,Colonia Vignaud AgriculturaCba,-30.839017,-61.96034,20201105T010000Z
107,100000000000000030139,EPEC - Azotea Ed. Central,-31.4072,-64.1862,20201105T010000Z
108,100000000000000030254,APRHi - Las Varillas,-31.847526,-62.73001,20201029T185000Z
109,100000000000000030231,APRHi - Villa Dolores,-31.954,-65.1941,20201029T185000Z
110,100000000000000030283,La Playosa AgriculturaCba,-32.099088,-63.032561,20201105T011000Z
111,100000000000000030107,Colonia Caroya AgriculturaCba,-31.0199,-64.0448,20201105T010000Z
112,100000000000000030294,FCA - Capilla de los Remedios AgriculturaCba,-31.475875,-64.007049,20201105T011000Z
113,100000000000000030108,Huanchilla AgriculturaCba,-33.6665,-63.6395,20201105T011000Z
114,100000000000000030276,General Roca AgriculturaCba,-32.747002,-61.912753,20201105T011000Z
115,100000000000000030068,Laguna Larga AgriculturaCba,-31.7866,-63.812,20201105T012000Z
116,100000000000000030261,La Paquita AgriculturaCba,-30.909,-62.2201,20201105T011000Z
117,100000000000000030264,Los Surgentes AgriculturaCba,-32.987403,-62.01359,20201105T012000Z
118,100000000000000030263,Bulnes AgriculturaCba,-33.496524,-64.682928,20201029T190000Z
119,100000000000000030131,Villa del Dique AgriculturaCba,-32.1706,-64.453,20201105T013000Z
120,100000000000000030114,APRHi - Capilla del Carmen,-32.2042,-64.8153,20201029T184000Z
121,100000000000000030084,APRHi - Colonia Hogar,-30.8514,-64.3423,20201029T184000Z
122,100000000000000030136,APRHi - Salsacate,-31.3355,-65.0819,20201029T185000Z
123,100000000000000030239,APRHi - Obispo Trejo,-30.77743,-63.407706,20201029T185000Z
124,100000000000000030135,APRHi - Yacanto Norte,-32.0202,-64.8116,20201029T190000Z
125,100000000000000030137,APRHi - Lab. Hidraulica,-31.441,-64.191,20201029T184000Z
126,100000000000000030307,Consorcio Canalero San Miguel - Listello,-31.901842,-62.648869,20201105T010000Z
127,100000000000000030308,Consorcio Canalero San Miguel - Estancia El Tacuru,-32.074778,-62.624028,20201105T010000Z
128,100000000000000030244,APRHi - Serrezuela,-30.692033,-65.396614,20201117T183000Z
129,100000000000000030286,Villa Ciudad Parque AgriculturaCba,-31.89493,-64.541618,20201105T013000Z
130,100000000000000030060,Villa de Soto AgriculturaCba,-30.8684,-64.9895,20201105T013000Z
131,100000000000000030058,General Levalle AgriculturaCba,-34.0,-63.9163,20201105T011000Z
132,100000000000000030267,Huerta Grande AgriculturaCba,-31.0715,-64.4874,20201105T011000Z
133,100000000000000030026,MunUnquillo - Arroyo Chiviquin,-31.1871,-64.4161,20210125T150000Z
134,100000000000000030350,APRHi - Arroyo Algodón,-32.215248,-63.166206,20201029T183000Z
135,100000000000000030168,APRHi - La Rinconada,-30.1819,-62.9468,20201029T184000Z
136,100000000000000030138,APRHi - Huerta Vieja,-32.509,-64.7322,20201029T184000Z
137,100000000000000030070,Canals AgriculturaCba,-33.5521,-62.8756,20201029T190000Z
138,100000000000000030081,APRHi - Pampa del Gato,-30.9401,-64.1798,20201029T185000Z
139,100000000000000030162,La Tordilla AgriculturaCba,-31.2636,-63.0667,20201105T012000Z
140,100000000000000030309,Consorcio Canalero San Miguel - Establecimiento Don Luis,-31.78075,-62.390111,20201105T010000Z
141,100000000000000030014,Marull,-30.9838,-62.8568,20201105T012000Z
142,100000000000000030027,MunUnquillo - Arroyo Los Quebrachitos,-31.2106,-64.36,20201105T012000Z
143,100000000000000030127,Villa Amancay AgriculturaCba,-32.2024,-64.5626,20201105T013000Z
144,100000000000000030284,Wenceslao Escalante AgriculturaCba,-33.170634,-62.772534,20201105T014000Z
145,100000000000000030051,Munic. de La Para,-30.8909,-63.0185,20201105T012000Z
146,100000000000000030259,San Antonio de Litin AgriculturaCba,-32.2074,-62.6463,20201105T013000Z
147,100000000000000030141,EPEC - Arroyo Cabral,-32.496,-63.4226,20201105T010000Z
148,100000000000000030067,Punta del Agua AgriculturaCba,-32.5767,-63.8094,20201105T012000Z
